alpha,block_size,key_range,read_prob,success_rate
1.03,64,100,0.5,0.8701171875
1.03,64,100,0.5,0.876953125
1.03,64,100,0.5,0.853515625
1.03,64,100,0.5,0.869140625
1.03,64,100,0.5,0.8955078125
1.03,64,100,0.5,0.876953125
1.03,64,100,0.5,0.8896484375
1.03,64,100,0.5,0.833984375
1.03,64,100,0.5,0.8916015625
1.03,64,100,0.5,0.8837890625
1.03,64,100,0.5,0.896484375
1.03,64,100,0.5,0.8818359375
1.03,64,100,0.5,0.91015625
1.03,64,100,0.5,0.9013671875
1.03,64,100,0.5,0.9169921875
1.03,64,100,0.5,0.892578125
1.03,64,100,0.5,0.8876953125
1.03,64,100,0.5,0.9091796875
1.03,64,100,0.5,0.9189453125
1.03,64,100,0.5,0.908203125
1.03,64,100,0.5,0.875
1.03,64,100,0.5,0.9140625
1.03,64,100,0.5,0.888671875
1.03,64,100,0.5,0.9013671875
1.03,64,100,0.5,0.8681640625
1.03,64,100,0.5,0.88671875
1.03,64,100,0.5,0.890625
1.03,64,100,0.5,0.9248046875
1.03,64,100,0.5,0.9033203125
1.03,8,20,0.5,0.892
1.03,8,20,0.5,0.885
1.03,8,20,0.5,0.88
1.03,8,20,0.5,0.882
1.03,8,20,0.5,0.892
1.03,8,20,0.5,0.884
1.03,8,20,0.5,0.889
1.03,8,20,0.5,0.891
1.03,8,20,0.5,0.878
1.03,8,20,0.5,0.879
1.03,8,20,0.5,0.872
1.03,8,20,0.5,0.889
1.03,8,20,0.5,0.873
1.03,8,20,0.5,0.88
1.03,8,20,0.5,0.862
1.03,8,20,0.5,0.879
1.03,8,20,0.5,0.885
1.03,8,20,0.5,0.89
1.03,8,20,0.5,0.896
1.03,8,20,0.5,0.882
1.03,8,20,0.5,0.894
1.03,8,20,0.5,0.902
1.03,8,20,0.5,0.874
1.03,8,20,0.5,0.894
1.03,8,20,0.5,0.882
1.03,8,20,0.5,0.886
1.03,8,20,0.5,0.882
1.03,8,20,0.5,0.884
1.03,8,20,0.5,0.863
1.03,8,20,0.5,0.874
1.03,8,20,0.5,0.866
1.03,8,20,0.5,0.882
1.03,8,20,0.5,0.875
1.03,8,20,0.5,0.889
1.03,8,20,0.5,0.886
1.03,8,20,0.5,0.876
1.03,8,20,0.5,0.895
1.03,8,20,0.5,0.876
1.03,8,20,0.5,0.891
1.03,8,20,0.5,0.875
1.03,8,20,0.5,0.878
1.03,8,20,0.5,0.872
1.03,8,20,0.5,0.878
1.03,8,20,0.5,0.889
1.03,8,20,0.5,0.886
1.03,8,20,0.5,0.891
1.03,8,20,0.5,0.88
1.03,8,20,0.5,0.859
1.03,8,20,0.5,0.857
1.03,8,20,0.5,0.874
1.03,8,40,0.5,0.951
1.03,8,40,0.5,0.915
1.03,8,40,0.5,0.953
1.03,8,40,0.5,0.955
1.03,8,40,0.5,0.946
1.03,8,40,0.5,0.94
1.03,8,40,0.5,0.939
1.03,8,40,0.5,0.947
1.03,8,40,0.5,0.933
1.03,8,40,0.5,0.939
1.03,8,40,0.5,0.937
1.03,8,40,0.5,0.947
1.03,8,40,0.5,0.932
1.03,8,40,0.5,0.947
1.03,8,40,0.5,0.92
1.03,8,40,0.5,0.956
1.03,8,40,0.5,0.94
1.03,8,40,0.5,0.948
1.03,8,40,0.5,0.94
1.03,8,40,0.5,0.939
1.03,8,40,0.5,0.942
1.03,8,40,0.5,0.937
1.03,8,40,0.5,0.946
1.03,8,40,0.5,0.95
1.03,8,40,0.5,0.95
1.03,8,40,0.5,0.946
1.03,8,40,0.5,0.938
1.03,8,40,0.5,0.941
1.03,8,40,0.5,0.936
1.03,8,40,0.5,0.934
1.03,8,40,0.5,0.93
1.03,8,40,0.5,0.94
1.03,8,40,0.5,0.943
1.03,8,40,0.5,0.939
1.03,8,40,0.5,0.942
1.03,8,40,0.5,0.941
1.03,8,40,0.5,0.951
